2023/03/11 14:28:02;192.168.2.2;DeK Print LAN;down
2023/03/11 14:29:02;192.168.2.2;DeK Print LAN;down
2023/03/11 14:30:02;192.168.2.2;DeK Print LAN;down
2023/03/11 14:31:02;192.168.2.2;DeK Print LAN;down
2023/03/11 14:32:02;192.168.2.2;DeK Print LAN;down
2023/03/11 14:34:02;192.168.2.2;DeK Print LAN;down
2023/03/11 14:35:02;192.168.2.2;DeK Print LAN;down
2023/03/11 14:33:02;192.168.2.2;DeK Print LAN;down
2023/03/11 14:36:01;192.168.2.2;DeK Print LAN;down
2023/03/11 14:37:01;192.168.2.2;DeK Print LAN;down
2023/03/11 14:38:02;192.168.2.2;DeK Print LAN;down
2023/03/11 14:39:02;192.168.2.2;DeK Print LAN;down
2023/03/11 14:40:01;192.168.2.2;DeK Print LAN;down
