2023/03/11 14:28:02;192.168.2.8;DeK NAS;0.781
2023/03/11 14:29:02;192.168.2.8;DeK NAS;0.777
2023/03/11 14:30:02;192.168.2.8;DeK NAS;0.806
2023/03/11 14:31:02;192.168.2.8;DeK NAS;0.810
2023/03/11 14:32:02;192.168.2.8;DeK NAS;0.633
2023/03/11 14:34:02;192.168.2.8;DeK NAS;0.798
2023/03/11 14:35:02;192.168.2.8;DeK NAS;0.773
2023/03/11 14:33:02;192.168.2.8;DeK NAS;0.463
2023/03/11 14:36:01;192.168.2.8;DeK NAS;0.764
2023/03/11 14:37:01;192.168.2.8;DeK NAS;0.637
2023/03/11 14:38:02;192.168.2.8;DeK NAS;0.782
2023/03/11 14:39:02;192.168.2.8;DeK NAS;0.772
2023/03/11 14:40:01;192.168.2.8;DeK NAS;0.785
