2023/03/11 14:28:02;192.168.2.1;Gateway;0.502
2023/03/11 14:29:02;192.168.2.1;Gateway;0.493
2023/03/11 14:30:02;192.168.2.1;Gateway;0.496
2023/03/11 14:31:02;192.168.2.1;Gateway;0.504
2023/03/11 14:32:02;192.168.2.1;Gateway;0.494
2023/03/11 14:34:02;192.168.2.1;Gateway;0.510
2023/03/11 14:35:02;192.168.2.1;Gateway;0.513
2023/03/11 14:33:02;192.168.2.1;Gateway;0.479
2023/03/11 14:36:01;192.168.2.1;Gateway;0.514
2023/03/11 14:37:01;192.168.2.1;Gateway;0.496
2023/03/11 14:38:02;192.168.2.1;Gateway;0.492
2023/03/11 14:39:02;192.168.2.1;Gateway;0.494
2023/03/11 14:40:01;192.168.2.1;Gateway;0.507
